,Time.ms,Time.min,Session,Load,Short description,Activity,Social,Focus,Changing visual field a lot
18,685000,11m25s,6,3,"While explaining the game, I go to the teacher desk to find another map to explain the goal of the game",TDT,G,MD,T
19,765000,12m45s,6,3,"While looking at one group, I see one of the students is fidding with the recording laptop",MON,G,FAC,T
20,770000,12m50s,6,3,"While looking at one group, I see one of the students is fidding with the recording laptop",REP,G,NA,T
21,775000,12m55s,6,3,I watch as the kids play chaotically,MON,G,TAB,T
22,790000,13m10s,6,3,I watch as the kids play chaotically,MON,G,TAB,F
23,795000,13m15s,6,3,I watch as the kids play chaotically,MON,G,TAB,F
24,8.00E+05,13m20s,6,3,I watch as the kids play chaotically,MON,G,TAB,F
25,860000,14m20s,6,3,"I am at the desk, trying to find a map. Then, I cross the room to give them the map",TDT,G,MD,T
26,865000,14m25s,6,3,"I am at the desk, trying to find a map. Then, I cross the room to give them the map",TDT,G,NA,T
27,945000,15m45s,6,3,"I try to explain the game, but the students seem to prefer to play with the paper",REP,G,TAB,F
28,950000,15m50s,6,3,"I try to explain the game, but the students seem to prefer to play with the paper",REP,G,FAC,T
29,955000,15m55s,6,3,"I try to explain the game, but the students seem to prefer to play with the paper",REP,G,FAC,T
30,960000,16m0s,6,3,"I try to explain the game, but the students seem to prefer to play with the paper",REP,G,TAB,F
31,1010000,16m50s,6,3,"As I am watching one of the groups, Wen comes to warn me to go to the next phase",MON,G,TAB,T
32,1015000,16m55s,6,3,"As I am watching one of the groups, Wen comes to warn me to go to the next phase",TDT,G,RES,T
33,1220000,20m20s,6,3,"As I watch one of the groups, Wen comes to tell me one of the lamps does not work",MON,G,TAB,T
34,1225000,20m25s,6,3,"As I watch one of the groups, Wen comes to tell me one of the lamps does not work",REP,G,NA,T
35,1255000,20m55s,6,3,I power down the lamp,REP,G,NA,T
36,1260000,21m0s,6,3,I power down the lamp,REP,G,NA,T
37,1470000,24m30s,6,3,"I finish explaining the activity, then talk to Daniela about the activity flow",TDT,G,TAB,T
38,1475000,24m35s,6,3,"I finish explaining the activity, then talk to Daniela about the activity flow",TDT,NA,RES,T
39,1930000,32m10s,6,3,"I finish looking at one group, then look around, and find Daniela coming to tell me to give the order of ending",MON,C,RES,T
40,1935000,32m15s,6,3,"Daniela tells me to finish the activities, I address the whole classroom to finish",TDT,C,BAK,T
41,2045000,34m5s,6,3,I listen as one of the students tells about the strategy they followed,MON,G,FAC,T
42,2090000,34m50s,6,3,"I look around the desk, trying to find what might be needed for the questionnaires",TDT,NA,MD,T
43,2130000,35m30s,6,3,I listen to one of the students of the group while they are filling up the questionnaire,REP,G,FAC,T
44,2135000,35m35s,6,3,I listen to one of the students of the group while they are filling up the questionnaire,REP,G,FAC,T
45,2175000,36m15s,6,3,I try to see whether they understood the logic of the game. One of the students asks what is a strategy,REP,G,TAB,F
46,2270000,37m50s,6,3,"I watch as the kids fill in the questionnaire, then go around seeing if everyone has a questionnaire",MON,G,NA,T
47,2275000,37m55s,6,3,"I watch as the kids fill in the questionnaire, then go around seeing if everyone has a questionnaire",TDT,C,NA,T
48,2325000,38m45s,6,3,I go to the teacher desk to leave some stuff,NA,NA,MD,T
49,2485000,41m25s,6,3,Talking with the teachers about how the lesson went,NA,NA,TEA,F
50,2490000,41m30s,6,3,Talking with the teachers about how the lesson went,NA,NA,TEA,T
51,2525000,42m5s,6,3,"I finish talking with the teachers, the students start to go out and I lead them to the outside",NA,NA,TEA,T
52,2530000,42m10s,6,3,"I finish talking with the teachers, the students start to go out and I lead them to the outside",NA,NA,NA,T
53,2540000,42m20s,6,3,"I finish talking with the teachers, the students start to go out and I lead them to the outside",NA,NA,NA,T
54,2545000,42m25s,6,3,"I finish talking with the teachers, the students start to go out and I lead them to the outside",NA,NA,NA,T
55,2585000,43m5s,6,3,"I finish talking with the teachers, the students start to go out and I lead them to the outside",NA,NA,NA,T
